DOI,Cited Paper ID,Paper DOI
10.1016/j.eswa.2024.125717,dc8b74e054d7333bc9679e07398dc83277ca8cb4,10.1007/s40747-024-01479-z
10.1016/j.eswa.2024.125717,c713ade0d479355c8e155ca720fbe36c34e9e2f6,10.1007/s40547-024-00143-4
10.1016/j.eswa.2024.125717,f7a9e4cb1e357cb8281faf8da2247a3c48d88df0,10.1016/j.ijcce.2024.03.002
10.1016/j.eswa.2024.125717,85f7716387b4cfe79bff74d988f68ca86ef27526,10.7717/peerj-cs.1517
10.1016/j.eswa.2024.125717,82f140d6f1fbcbd92b17a7b4fb487050f150785f,10.1016/j.rineng.2023.101287
10.1016/j.eswa.2024.125717,2deba4a5689cd89d3719208e3161f4e11f44c3ad,10.54554/jtec.2023.15.01.004
10.1016/j.eswa.2024.125717,14861349b075f28cba3a78539a16b18f83e5bbed,10.1007/s13278-023-01030-x
10.1016/j.eswa.2024.125717,2aa786b24e6d0b32e441ba45ac3fbe84c03e3d70,10.1177/01423312221142564
10.1016/j.eswa.2024.125717,c9918192a759c4fb81570d9ca9e412648accf821,10.1016/j.ipm.2022.103098
10.1016/j.eswa.2024.125717,a411ba7b80a3132fcbe8cb04c6cba1a1fddf58df,10.1007/s10586-022-03626-y
10.1016/j.eswa.2024.125717,7d1c4669aa820314fc16b9bb89221df8d3a18b25,10.31449/inf.v46i6.3991
10.1016/j.eswa.2024.125717,639d0a6f96d4d6e789c956c6fe8d28eda5252eaa,10.3390/telecom3020019
10.1016/j.eswa.2024.125717,c5262ef432e6df7ab1708b7046c63ed9a034a96a,10.23917/khif.v8i1.15213
10.1016/j.eswa.2024.125717,cb89bc869ff15b558f73af49dcbe0f1e43a6466b,10.1108/jrim-08-2021-0200
10.1016/j.eswa.2024.125717,0dbe230f85a489aee3638ef19814c7e867f189d3,10.1177/14614448211068530
10.1016/j.eswa.2024.125717,c561542fb7bb48ab659b94df1d5acd7503602469,10.1007/s13278-021-00855-8
10.1016/j.eswa.2024.125717,bf103f4da7db4ec68f5831946b5e5fefc2bbeb1f,10.1016/j.matpr.2021.11.199
10.1016/j.eswa.2024.125717,d1bb1ba9eae5f4db570ea3bb912ef21fa5010c4d,10.3233/jifs-211821
10.1016/j.eswa.2024.125717,96574b0e64da43e9b4f929bdb394841b73f76e81,10.1007/S11277-021-08580-3
10.1016/j.eswa.2024.125717,791142f08f057ddafeef8d3bcb74f236ed160680,10.1108/GKMC-04-2020-0056
10.1016/j.eswa.2024.125717,06415a46341d1d37383da490782aaa184484243f,10.1108/JAMR-06-2020-0128
10.1016/j.eswa.2024.125717,5dce883367924ac5f1a5f9c1ef1e888416f4a29b,10.1109/ICOASE51841.2020.9436590
10.1016/j.eswa.2024.125717,61a3db1b2905bdf818179d6bbc06d0aea7f366ac,10.1109/SMAP49528.2020.9248440
10.1016/j.eswa.2024.125717,e9c7f15bf73b4b9432a2a72ae3ad81ec30af58e2,10.1016/j.asoc.2020.106754
10.1016/j.eswa.2024.125717,f9b70cd881f3d77fe6ac3f9089e1f6297d3987a1,10.1016/j.icte.2020.07.003
10.1016/j.eswa.2024.125717,4ee98e8bcebbc253f59ec2285b8e6d2ceed1d7d8,10.1007/s12065-020-00429-1
10.1016/j.eswa.2024.125717,1f3d37159ba61a25cb94646cf55eb4eec9d03456,10.1109/incet49848.2020.9154183
10.1016/j.eswa.2024.125717,f0b96434a771608666c799a03b725ac313f5f8f2,10.1016/j.dss.2020.113304
10.1016/j.eswa.2024.125717,09cae01a4a3a4663c17a9f5779af559f63139eef,10.1007/978-3-030-45442-5_64
10.1016/j.eswa.2024.125717,bf2f04a42f1f12a05a5df82899dc7570f10e68e3,10.2139/ssrn.3702238
10.1016/j.eswa.2024.125717,0549c56b1a7c36df0927798131f53e94b69d0aec,10.1109/ICACCS48705.2020.9074312
10.1016/j.eswa.2024.125717,ca41670053d13c518f7a4c9695f54d0e94fe4445,10.23919/indiacom49435.2020.9083703
10.1016/j.eswa.2024.125717,1cb7e784a560f8bd2122bbb0274657192972f561,10.1109/ACCESS.2020.2969854
10.1016/j.eswa.2024.125717,1adcb37768b9a5f7dfec414cff1b969696fab3d7,10.1145/3341107
10.1016/j.eswa.2024.125717,2131ab89e21b9518841cb62e3bc13ab4d63368b4,10.1109/ACCESS.2019.2963702
10.1016/j.eswa.2024.125717,cb6add63aeb4366d1406534e73b0bad19df84107,10.1109/ICIIS47346.2019.9063341
10.1016/j.eswa.2024.125717,dd66175251e2acfb49b1ed5b509de38aad740745,10.1109/ICRAIE47735.2019.9037749
